date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2022-04-26,ADBL,374.0,377.0,371.5,373.0,,,11521.0,4299443.3,,aabishkar2_nepse_data,0.7
2022-04-26,AHPC,423.0,428.0,411.0,415.0,,,69782.0,29259707.2,,aabishkar2_nepse_data,0.7
2022-04-26,AKJCL,249.0,253.0,239.5,244.0,,,17272.0,4253107.4,,aabishkar2_nepse_data,0.7
2022-04-26,AKPL,421.0,433.0,418.0,420.0,,,29371.0,12473265.0,,aabishkar2_nepse_data,0.7
2022-04-26,ALICL,820.0,837.0,805.0,820.0,,,5718.0,4706087.2,,aabishkar2_nepse_data,0.7
2022-04-26,API,312.0,313.0,300.0,303.0,,,133067.0,40662648.2,,aabishkar2_nepse_data,0.7
2022-04-26,BARUN,420.0,420.0,397.0,407.0,,,7421.0,3026097.3,,aabishkar2_nepse_data,0.7
2022-04-26,BFC,415.0,431.0,409.1,415.0,,,9294.0,3892099.4,,aabishkar2_nepse_data,0.7
2022-04-26,BOKL,244.0,248.8,243.4,246.0,,,6577.0,1616628.4,,aabishkar2_nepse_data,0.7
2022-04-26,BPCL,380.0,386.0,376.0,378.0,,,5707.0,2167605.1,,aabishkar2_nepse_data,0.7
2022-04-26,CBL,221.0,224.0,217.2,218.0,,,35373.0,7783721.4,,aabishkar2_nepse_data,0.7
2022-04-26,CCBL,214.1,220.0,214.1,215.2,,,19732.0,4272682.7,,aabishkar2_nepse_data,0.7
2022-04-26,CFCL,353.0,371.0,353.0,356.0,,,10980.0,3987800.4,,aabishkar2_nepse_data,0.7
2022-04-26,CGH,1310.0,1337.0,1300.0,1330.0,,,3670.0,4802477.0,,aabishkar2_nepse_data,0.7
2022-04-26,CHCL,450.0,457.0,446.0,450.0,,,17774.0,8055915.8,,aabishkar2_nepse_data,0.7
2022-04-26,CHDC,786.0,815.0,771.0,784.0,,,7671.0,6059198.5,,aabishkar2_nepse_data,0.7
2022-04-26,CHL,355.0,366.0,344.5,357.5,,,19533.0,6889589.6,,aabishkar2_nepse_data,0.7
2022-04-26,CIT,2900.0,2913.0,2875.0,2875.0,,,2934.0,8490786.1,,aabishkar2_nepse_data,0.7
2022-04-26,CORBL,504.9,524.0,472.3,481.7,,,3753.0,1821433.0,,aabishkar2_nepse_data,0.7
2022-04-26,CZBIL,253.9,258.0,251.0,254.0,,,11949.0,3037836.6,,aabishkar2_nepse_data,0.7
2022-04-26,DHPL,264.0,267.0,260.0,262.5,,,3140.0,822791.2,,aabishkar2_nepse_data,0.7
2022-04-26,EBL,512.0,512.0,503.3,506.0,,,10245.0,5189582.8,,aabishkar2_nepse_data,0.7
2022-04-26,EDBL,426.3,426.3,405.0,415.0,,,6126.0,2521468.7,,aabishkar2_nepse_data,0.7
2022-04-26,GBBL,418.0,426.0,416.0,422.3,,,16770.0,7051874.4,,aabishkar2_nepse_data,0.7
2022-04-26,GBIME,302.0,305.0,299.7,301.0,,,39807.0,11985745.3,,aabishkar2_nepse_data,0.7
2022-04-26,GFCL,509.0,509.0,490.2,498.0,,,4182.0,2082980.3,,aabishkar2_nepse_data,0.7
2022-04-26,GHL,254.4,259.5,244.6,249.0,,,18799.0,4722729.4,,aabishkar2_nepse_data,0.7
2022-04-26,GLH,400.9,408.0,393.0,402.5,,,2290.0,911886.0,,aabishkar2_nepse_data,0.7
2022-04-26,GLICL,552.1,585.0,549.0,558.0,,,6905.0,3827289.8,,aabishkar2_nepse_data,0.7
2022-04-26,GMFIL,355.0,362.1,342.0,344.0,,,4505.0,1572459.1,,aabishkar2_nepse_data,0.7
2022-04-26,GRDBL,289.0,299.0,283.3,292.0,,,3372.0,977170.5,,aabishkar2_nepse_data,0.7
2022-04-26,GUFL,470.3,475.0,456.0,461.0,,,18022.0,8394383.5,,aabishkar2_nepse_data,0.7
2022-04-26,HDHPC,239.0,258.0,234.0,236.0,,,47688.0,11455927.4,,aabishkar2_nepse_data,0.7
2022-04-26,HIDCL,256.0,263.8,253.2,254.0,,,62261.0,15992500.3,,aabishkar2_nepse_data,0.7
2022-04-26,HPPL,435.2,435.2,413.6,420.0,,,5989.0,2549399.8,,aabishkar2_nepse_data,0.7
2022-04-26,HURJA,333.7,333.7,320.6,320.6,,,9424.0,3074229.7,,aabishkar2_nepse_data,0.7
2022-04-26,ICFC,509.0,520.0,498.0,506.1,,,21224.0,10732407.3,,aabishkar2_nepse_data,0.7
2022-04-26,JBBL,374.0,380.0,368.0,369.0,,,24174.0,8993742.5,,aabishkar2_nepse_data,0.7
2022-04-26,JFL,425.3,425.3,412.0,416.0,,,7972.0,3338889.2,,aabishkar2_nepse_data,0.7
2022-04-26,JLI,559.0,565.0,549.0,551.0,,,4906.0,2722409.2,,aabishkar2_nepse_data,0.7
2022-04-26,JOSHI,241.0,248.8,237.2,239.9,,,14226.0,3431066.1,,aabishkar2_nepse_data,0.7
2022-04-26,KBL,220.5,225.0,218.6,220.0,,,42969.0,9452732.3,,aabishkar2_nepse_data,0.7
2022-04-26,KKHC,252.0,267.4,252.0,259.0,,,7284.0,1900324.0,,aabishkar2_nepse_data,0.7
2022-04-26,KPCL,450.9,450.9,429.0,438.0,,,1930.0,843137.0,,aabishkar2_nepse_data,0.7
2022-04-26,KRBL,336.3,336.3,317.6,325.0,,,2461.0,798292.4,,aabishkar2_nepse_data,0.7
2022-04-26,KSBBL,448.5,448.5,430.0,435.0,,,12636.0,5528678.2,,aabishkar2_nepse_data,0.7
2022-04-26,LBBL,424.0,444.0,424.0,427.2,,,15691.0,6781261.8,,aabishkar2_nepse_data,0.7
2022-04-26,LBL,240.0,243.3,238.0,240.0,,,3496.0,837055.8,,aabishkar2_nepse_data,0.7
2022-04-26,LEC,322.0,331.0,316.0,323.0,,,3226.0,1029595.0,,aabishkar2_nepse_data,0.7
2022-04-26,LICN,1869.0,1869.0,1830.0,1840.0,,,3745.0,6892261.0,,aabishkar2_nepse_data,0.7
2022-04-26,MBL,276.0,282.0,276.0,279.0,,,27791.0,7743771.5,,aabishkar2_nepse_data,0.7
2022-04-26,MDB,461.0,461.0,443.1,447.0,,,1171.0,529572.0,,aabishkar2_nepse_data,0.7
2022-04-26,MEGA,240.0,241.0,236.5,238.0,,,11791.0,2807235.3,,aabishkar2_nepse_data,0.7
2022-04-26,MEN,1043.7,1060.0,1013.1,1030.0,,,2060.0,2106769.0,,aabishkar2_nepse_data,0.7
2022-04-26,MFIL,500.0,510.0,485.5,489.0,,,15252.0,7566831.9,,aabishkar2_nepse_data,0.7
2022-04-26,MHNL,362.0,369.9,350.0,360.0,,,3162.0,1129552.0,,aabishkar2_nepse_data,0.7
2022-04-26,MKJC,519.0,538.9,512.0,530.0,,,280.0,146052.0,,aabishkar2_nepse_data,0.7
2022-04-26,MLBL,429.0,429.9,413.6,417.0,,,50647.0,21153757.6,,aabishkar2_nepse_data,0.7
2022-04-26,MNBBL,480.0,489.9,476.5,479.9,,,13641.0,6559773.6,,aabishkar2_nepse_data,0.7
2022-04-26,MPFL,365.0,365.0,339.1,340.0,,,3998.0,1390101.7,,aabishkar2_nepse_data,0.7
2022-04-26,NABBC,385.0,388.0,373.0,381.0,,,2035.0,776884.5,,aabishkar2_nepse_data,0.7
2022-04-26,NABIL,940.9,947.0,936.0,937.9,,,27496.0,25847948.6,,aabishkar2_nepse_data,0.7
2022-04-26,NBL,319.0,321.9,316.6,317.0,,,19984.0,6360831.1,,aabishkar2_nepse_data,0.7
2022-04-26,NCCB,231.9,233.0,228.0,229.5,,,75278.0,17311332.5,,aabishkar2_nepse_data,0.7
2022-04-26,NFS,465.0,480.1,464.0,469.0,,,15425.0,7219288.5,,aabishkar2_nepse_data,0.7
2022-04-26,NGPL,583.0,583.0,556.0,559.0,,,18787.0,10636308.2,,aabishkar2_nepse_data,0.7
2022-04-26,NHDL,418.5,435.0,416.5,424.0,,,6988.0,2960261.0,,aabishkar2_nepse_data,0.7
2022-04-26,NHPC,268.0,277.4,260.0,264.7,,,52859.0,14136041.1,,aabishkar2_nepse_data,0.7
2022-04-26,NICA,785.0,791.0,773.0,784.4,,,35741.0,27903335.3,,aabishkar2_nepse_data,0.7
2022-04-26,NIFRA,310.0,313.0,303.8,305.5,,,74586.0,22937766.1,,aabishkar2_nepse_data,0.7
2022-04-26,NLIC,940.0,949.0,938.0,942.0,,,13730.0,12945659.3,,aabishkar2_nepse_data,0.7
2022-04-26,NLICL,752.0,768.0,745.0,759.0,,,5395.0,4052060.0,,aabishkar2_nepse_data,0.7
2022-04-26,NMB,295.0,300.0,293.0,297.0,,,27948.0,8272659.4,,aabishkar2_nepse_data,0.7
2022-04-26,NRN,563.6,581.0,560.0,570.0,,,9188.0,5215384.1,,aabishkar2_nepse_data,0.7
2022-04-26,NYADI,392.1,408.0,390.3,396.0,,,5881.0,2353913.0,,aabishkar2_nepse_data,0.7
2022-04-26,OHL,521.0,521.0,505.5,510.5,,,9720.0,4977621.0,,aabishkar2_nepse_data,0.7
2022-04-26,PCBL,299.0,302.0,292.0,297.5,,,19541.0,5797734.3,,aabishkar2_nepse_data,0.7
2022-04-26,PFL,401.0,417.0,396.0,403.0,,,7083.0,2858212.8,,aabishkar2_nepse_data,0.7
2022-04-26,PLI,532.2,541.0,525.0,535.0,,,5108.0,2711506.5,,aabishkar2_nepse_data,0.7
2022-04-26,PLIC,654.0,664.1,651.1,655.0,,,9230.0,6066349.9,,aabishkar2_nepse_data,0.7
2022-04-26,PMHPL,284.0,284.0,273.0,277.0,,,2353.0,647200.3,,aabishkar2_nepse_data,0.7
2022-04-26,PPCL,346.2,359.0,343.0,343.0,,,22283.0,7773312.5,,aabishkar2_nepse_data,0.7
2022-04-26,PROFL,314.0,314.0,298.0,309.0,,,6176.0,1873075.4,,aabishkar2_nepse_data,0.7
