date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2021-04-07,ADBL,438.0,439.0,432.0,437.0,,,30787.0,13430420.0,,aabishkar2_nepse_data,0.7
2021-04-07,AHPC,290.0,290.0,266.0,267.0,,,115331.0,31082759.0,,aabishkar2_nepse_data,0.7
2021-04-07,AKJCL,165.0,165.0,155.0,157.0,,,26949.0,4283984.0,,aabishkar2_nepse_data,0.7
2021-04-07,AKPL,350.0,350.0,332.0,333.0,,,206075.0,69707347.0,,aabishkar2_nepse_data,0.7
2021-04-07,ALICL,1310.0,1310.0,1280.0,1281.0,,,28224.0,36455969.0,,aabishkar2_nepse_data,0.7
2021-04-07,API,336.0,342.0,328.0,330.0,,,135122.0,44905821.0,,aabishkar2_nepse_data,0.7
2021-04-07,BARUN,250.0,256.0,243.0,246.0,,,17310.0,4294467.0,,aabishkar2_nepse_data,0.7
2021-04-07,BFC,157.0,169.0,157.0,167.0,,,20486.0,3419514.0,,aabishkar2_nepse_data,0.7
2021-04-07,BOKL,310.0,315.0,306.0,310.0,,,153079.0,47716766.0,,aabishkar2_nepse_data,0.7
2021-04-07,BPCL,460.0,465.0,429.0,432.0,,,136136.0,60099779.0,,aabishkar2_nepse_data,0.7
2021-04-07,CBL,233.0,244.0,231.0,237.0,,,392091.0,92966271.0,,aabishkar2_nepse_data,0.7
2021-04-07,CCBL,251.0,260.0,247.0,256.0,,,187663.0,47594216.0,,aabishkar2_nepse_data,0.7
2021-04-07,CFCL,211.0,214.0,208.0,213.0,,,42233.0,8950333.0,,aabishkar2_nepse_data,0.7
2021-04-07,CGH,2461.0,2578.0,2355.0,2578.0,,,58262.0,148528528.0,,aabishkar2_nepse_data,0.7
2021-04-07,CHCL,700.0,710.0,676.0,681.0,,,322277.0,223300890.0,,aabishkar2_nepse_data,0.7
2021-04-07,CHL,240.0,245.0,226.0,228.0,,,58990.0,13799733.0,,aabishkar2_nepse_data,0.7
