date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2023-03-29,ADBL,245.0,249.8,244.0,246.0,,,10613.0,2606354.2,,aabishkar2_nepse_data,0.7
2023-03-29,AHPC,299.6,303.0,299.0,300.4,,,17482.0,5255898.5,,aabishkar2_nepse_data,0.7
2023-03-29,AKJCL,231.2,231.2,223.1,226.0,,,14142.0,3184454.7,,aabishkar2_nepse_data,0.7
2023-03-29,AKPL,405.0,407.0,403.0,404.0,,,16323.0,6604462.0,,aabishkar2_nepse_data,0.7
2023-03-29,ALICL,620.0,620.0,608.0,618.0,,,7176.0,4398670.6,,aabishkar2_nepse_data,0.7
2023-03-29,API,267.7,267.7,256.0,260.1,,,43359.0,11288783.9,,aabishkar2_nepse_data,0.7
2023-03-29,BARUN,267.0,270.0,266.0,266.0,,,3624.0,969492.4,,aabishkar2_nepse_data,0.7
2023-03-29,BFC,325.0,326.0,323.0,323.1,,,2810.0,912009.0,,aabishkar2_nepse_data,0.7
2023-03-29,BPCL,325.5,325.5,314.0,319.5,,,7733.0,2453558.2,,aabishkar2_nepse_data,0.7
2023-03-29,CFCL,312.0,314.0,307.9,313.0,,,2457.0,764721.6,,aabishkar2_nepse_data,0.7
2023-03-29,CGH,1126.0,1148.5,1126.0,1140.0,,,1420.0,1624364.0,,aabishkar2_nepse_data,0.7
2023-03-29,CHCL,479.0,481.8,472.1,479.9,,,20928.0,10032979.7,,aabishkar2_nepse_data,0.7
2023-03-29,CHDC,712.5,730.0,712.5,722.0,,,940.0,679104.0,,aabishkar2_nepse_data,0.7
2023-03-29,CHL,322.0,324.0,318.0,320.8,,,7141.0,2293327.2,,aabishkar2_nepse_data,0.7
2023-03-29,CIT,2074.0,2077.9,2035.0,2070.0,,,5995.0,12399938.4,,aabishkar2_nepse_data,0.7
2023-03-29,CORBL,301.0,305.0,295.0,305.0,,,3342.0,999521.4,,aabishkar2_nepse_data,0.7
2023-03-29,CZBIL,182.6,182.6,177.6,179.0,,,10298.0,1835768.6,,aabishkar2_nepse_data,0.7
2023-03-29,DHPL,224.4,227.0,220.1,226.5,,,1014.0,226728.0,,aabishkar2_nepse_data,0.7
2023-03-29,EBL,499.6,499.6,490.0,491.0,,,15110.0,7437198.8,,aabishkar2_nepse_data,0.7
2023-03-29,EDBL,307.0,312.6,307.0,311.0,,,2453.0,763353.2,,aabishkar2_nepse_data,0.7
2023-03-29,GBBL,359.8,359.8,355.1,357.0,,,6252.0,2229559.2,,aabishkar2_nepse_data,0.7
2023-03-29,GBIME,187.9,187.9,182.1,186.0,,,62357.0,11504262.3,,aabishkar2_nepse_data,0.7
2023-03-29,GFCL,447.0,458.0,447.0,458.0,,,1833.0,830651.0,,aabishkar2_nepse_data,0.7
2023-03-29,GHL,265.2,270.9,265.2,270.8,,,4589.0,1231586.4,,aabishkar2_nepse_data,0.7
2023-03-29,GLH,289.1,297.8,289.1,297.8,,,6477.0,1898038.2,,aabishkar2_nepse_data,0.7
2023-03-29,GLICL,423.0,428.0,419.1,426.9,,,19235.0,8166453.2,,aabishkar2_nepse_data,0.7
2023-03-29,GMFIL,311.0,312.0,308.0,308.2,,,5444.0,1687901.0,,aabishkar2_nepse_data,0.7
2023-03-29,GRDBL,257.0,258.0,256.0,258.0,,,1048.0,269224.0,,aabishkar2_nepse_data,0.7
2023-03-29,GUFL,509.0,510.0,503.2,506.0,,,6312.0,3195914.7,,aabishkar2_nepse_data,0.7
2023-03-29,HBL,230.9,230.9,225.0,226.9,,,28441.0,6424792.3,,aabishkar2_nepse_data,0.7
2023-03-29,HDHPC,219.6,226.9,219.6,222.8,,,49528.0,11006471.4,,aabishkar2_nepse_data,0.7
2023-03-29,HIDCL,197.0,197.0,194.0,196.0,,,27643.0,5404646.7,,aabishkar2_nepse_data,0.7
2023-03-29,HPPL,294.6,303.0,294.6,300.0,,,2748.0,816534.5,,aabishkar2_nepse_data,0.7
2023-03-29,HURJA,330.1,339.9,330.0,339.9,,,4447.0,1476997.5,,aabishkar2_nepse_data,0.7
2023-03-29,ICFC,420.0,425.0,414.0,423.0,,,10368.0,4334152.2,,aabishkar2_nepse_data,0.7
2023-03-29,JBBL,268.1,272.0,268.0,270.0,,,17332.0,4691165.4,,aabishkar2_nepse_data,0.7
2023-03-29,JFL,370.1,373.0,368.0,368.0,,,6550.0,2427150.0,,aabishkar2_nepse_data,0.7
2023-03-29,JOSHI,278.9,278.9,266.0,272.0,,,12167.0,3282805.5,,aabishkar2_nepse_data,0.7
2023-03-29,KBL,178.3,178.3,171.5,173.5,,,59932.0,10374771.9,,aabishkar2_nepse_data,0.7
2023-03-29,KKHC,243.3,247.9,243.3,246.9,,,839.0,205498.6,,aabishkar2_nepse_data,0.7
2023-03-29,KPCL,385.1,392.7,381.0,390.0,,,1835.0,705762.3,,aabishkar2_nepse_data,0.7
2023-03-29,KRBL,268.0,274.0,266.1,268.0,,,4459.0,1196261.1,,aabishkar2_nepse_data,0.7
2023-03-29,KSBBL,310.0,313.0,308.0,308.6,,,4962.0,1534741.3,,aabishkar2_nepse_data,0.7
2023-03-29,LBBL,324.0,330.0,324.0,326.1,,,3410.0,1113917.2,,aabishkar2_nepse_data,0.7
2023-03-29,LBL,183.0,183.0,179.4,179.4,,,15275.0,2760183.5,,aabishkar2_nepse_data,0.7
2023-03-29,LEC,270.0,277.0,270.0,275.0,,,3491.0,957523.0,,aabishkar2_nepse_data,0.7
2023-03-29,LICN,1329.9,1360.0,1329.9,1355.0,,,2110.0,2843975.2,,aabishkar2_nepse_data,0.7
2023-03-29,MBL,223.9,223.9,220.0,221.9,,,16242.0,3583810.1,,aabishkar2_nepse_data,0.7
2023-03-29,MDB,361.6,380.9,361.6,374.9,,,3608.0,1333288.6,,aabishkar2_nepse_data,0.7
2023-03-29,MEN,769.3,791.0,760.0,790.0,,,1091.0,854275.8,,aabishkar2_nepse_data,0.7
2023-03-29,MFIL,446.0,446.0,438.0,443.5,,,3672.0,1622451.8,,aabishkar2_nepse_data,0.7
2023-03-29,MHNL,299.0,303.2,297.0,303.0,,,2725.0,818883.2,,aabishkar2_nepse_data,0.7
2023-03-29,MKJC,436.1,443.0,435.9,443.0,,,320.0,140504.0,,aabishkar2_nepse_data,0.7
2023-03-29,MLBL,316.0,316.0,311.0,314.8,,,7855.0,2453039.4,,aabishkar2_nepse_data,0.7
2023-03-29,MNBBL,395.0,399.0,392.1,397.4,,,13561.0,5383836.5,,aabishkar2_nepse_data,0.7
2023-03-29,MPFL,329.8,330.0,322.0,328.4,,,976.0,317558.0,,aabishkar2_nepse_data,0.7
2023-03-29,NABBC,400.0,404.9,385.0,404.9,,,142.0,56390.0,,aabishkar2_nepse_data,0.7
2023-03-29,NABIL,610.0,610.0,599.0,609.0,,,31811.0,19273587.2,,aabishkar2_nepse_data,0.7
2023-03-29,NBL,257.0,258.9,255.0,256.9,,,24150.0,6184230.1,,aabishkar2_nepse_data,0.7
2023-03-29,NFS,301.0,301.0,297.3,298.0,,,5017.0,1498702.5,,aabishkar2_nepse_data,0.7
2023-03-29,NGPL,280.0,280.0,275.0,277.0,,,39569.0,10941069.5,,aabishkar2_nepse_data,0.7
2023-03-29,NHDL,412.0,412.0,400.1,406.5,,,3858.0,1563331.1,,aabishkar2_nepse_data,0.7
2023-03-29,NHPC,243.0,246.5,243.0,244.4,,,14830.0,3625224.0,,aabishkar2_nepse_data,0.7
2023-03-29,NICA,690.0,694.0,687.0,689.0,,,51749.0,35695866.1,,aabishkar2_nepse_data,0.7
2023-03-29,NIFRA,216.0,220.0,215.5,218.9,,,40357.0,8769845.6,,aabishkar2_nepse_data,0.7
2023-03-29,NLIC,655.0,660.0,647.0,650.0,,,29193.0,19041145.9,,aabishkar2_nepse_data,0.7
2023-03-29,NLICL,556.0,567.0,556.0,565.0,,,10905.0,6147833.1,,aabishkar2_nepse_data,0.7
2023-03-29,NMB,220.1,224.0,220.1,223.8,,,17194.0,3836251.5,,aabishkar2_nepse_data,0.7
2023-03-29,NRN,460.0,462.0,447.1,461.0,,,7501.0,3400988.1,,aabishkar2_nepse_data,0.7
2023-03-29,NYADI,323.2,330.0,323.2,329.9,,,620.0,201887.0,,aabishkar2_nepse_data,0.7
2023-03-29,OHL,522.1,545.0,521.0,544.0,,,5715.0,3024989.7,,aabishkar2_nepse_data,0.7
2023-03-29,PCBL,196.2,200.0,196.1,197.1,,,28760.0,5662103.6,,aabishkar2_nepse_data,0.7
2023-03-29,PFL,373.0,373.0,363.1,369.0,,,5354.0,1968635.8,,aabishkar2_nepse_data,0.7
2023-03-29,PLI,428.0,428.4,407.7,410.3,,,3165.0,1314112.2,,aabishkar2_nepse_data,0.7
2023-03-29,PLIC,413.0,413.0,405.4,406.0,,,7559.0,3088378.6,,aabishkar2_nepse_data,0.7
2023-03-29,PMHPL,248.9,248.9,244.1,248.8,,,2392.0,591913.8,,aabishkar2_nepse_data,0.7
2023-03-29,PPCL,348.0,352.1,345.2,348.3,,,2317.0,809312.0,,aabishkar2_nepse_data,0.7
2023-03-29,PROFL,320.0,320.0,317.2,317.3,,,1577.0,502528.1,,aabishkar2_nepse_data,0.7
2023-03-29,PRVU,171.5,176.6,171.0,172.1,,,53480.0,9213667.8,,aabishkar2_nepse_data,0.7
2023-03-29,RADHI,266.5,266.5,260.0,264.0,,,13003.0,3423126.9,,aabishkar2_nepse_data,0.7
2023-03-29,RHPL,306.0,310.1,306.0,308.0,,,9185.0,2830390.0,,aabishkar2_nepse_data,0.7
2023-03-29,RLFL,302.2,308.0,300.0,307.0,,,8172.0,2474990.7,,aabishkar2_nepse_data,0.7
2023-03-29,RURU,753.9,753.9,745.0,745.0,,,1920.0,1431028.0,,aabishkar2_nepse_data,0.7
2023-03-29,SADBL,294.0,300.0,294.0,296.0,,,4761.0,1406804.6,,aabishkar2_nepse_data,0.7
2023-03-29,SAHAS,537.0,542.5,528.2,536.0,,,2298.0,1228855.0,,aabishkar2_nepse_data,0.7
2023-03-29,SANIMA,241.0,243.0,239.0,243.0,,,21135.0,5097366.2,,aabishkar2_nepse_data,0.7
2023-03-29,SAPDBL,243.7,252.0,239.2,252.0,,,3666.0,904120.0,,aabishkar2_nepse_data,0.7
2023-03-29,SBI,306.3,312.0,306.1,311.9,,,15639.0,4803873.9,,aabishkar2_nepse_data,0.7
2023-03-29,SBL,260.0,264.0,255.8,261.9,,,33096.0,8593197.6,,aabishkar2_nepse_data,0.7
2023-03-29,SCB,508.0,518.0,501.0,509.5,,,20182.0,10293410.9,,aabishkar2_nepse_data,0.7
2023-03-29,SFCL,291.5,297.0,288.0,293.0,,,6821.0,1993366.4,,aabishkar2_nepse_data,0.7
2023-03-29,SHEL,330.0,340.0,325.6,335.9,,,2579.0,861442.9,,aabishkar2_nepse_data,0.7
2023-03-29,SHINE,325.0,325.0,319.0,321.9,,,19038.0,6105422.8,,aabishkar2_nepse_data,0.7
2023-03-29,SHL,225.7,235.5,225.5,233.0,,,65793.0,15288627.9,,aabishkar2_nepse_data,0.7
