date,symbol,open,high,low,close,company_name,sector,volume,turnover,transactions,source,source_confidence
2026-05-01,NICFC,9.3,9.57,9.3,9.4,,,1910.0,17942.4,11.0,https://www.sharesansar.com/today-share-price,0.9
2026-05-04,NICFC,9.3,9.57,9.3,9.4,,,1910.0,17942.4,11.0,https://www.sharesansar.com/today-share-price,0.9
2026-05-05,NICFC,9.3,9.57,9.3,9.4,,,1910.0,17942.4,11.0,https://www.sharesansar.com/today-share-price,0.9
2026-05-06,NICFC,9.3,9.57,9.3,9.4,,,1910.0,17942.4,11.0,https://www.sharesansar.com/today-share-price,0.9
2026-05-07,NICFC,9.3,9.57,9.3,9.4,,,1910.0,17942.4,11.0,https://www.sharesansar.com/today-share-price,0.9
2026-05-08,NICFC,9.3,9.57,9.3,9.4,,,1910.0,17942.4,11.0,https://www.sharesansar.com/today-share-price,0.9
2026-05-11,NICFC,9.3,9.57,9.3,9.4,,,1910.0,17942.4,11.0,https://www.sharesansar.com/today-share-price,0.9
2026-05-12,NICFC,9.3,9.57,9.3,9.4,,,1910.0,17942.4,11.0,https://www.sharesansar.com/today-share-price,0.9
2026-05-13,NICFC,9.3,9.57,9.3,9.4,,,1910.0,17942.4,11.0,https://www.sharesansar.com/today-share-price,0.9
